unique_values,counts
2237571,1290
15563,1259
2427427,1033
434,899
15245,662
10537,639
2018071,548
27014,528
5061989,488
27863,484
6614426,477
10499,460
2591049,447
2330830,383
2081490,381
9709,380
3508528,364
9628,362
2384299,358
2563681,318
7564546,314
2079798,258
9717,249
2078015,245
5718368,240
2246988,238
2077396,236
10529,223
9725,222
2001578,220
2058391,215
2078376,195
3832,190
930,187
3808,185
2781859,174
2232014,161
7166966,159
6086381,158
2308665,156
2012758,154
3167895,152
2688603,152
2400324,149
2012472,146
2077477,138
2400693,138
3242587,134
2738368,134
2691868,133
5420938,133
2389746,130
2786117,126
2798298,124
2744937,120
2076950,116
4050665,116
2070413,114
10464,113
5824990,112
2526638,112
2080427,110
2223538,110
5169976,109
2645157,108
2705982,108
2082187,106
2082691,103
2270234,102
3670562,97
2710498,96
7244339,95
2585,93
6878318,93
2069776,92
2078678,91
26948,91
2687127,90
6053858,89
7044666,87
2802104,87
2550792,87
2491710,86
3157245,85
2089327,85
2506661,84
5174465,83
5717515,83
2708353,83
2012030,82
2683202,81
2081377,80
2773333,79
5828856,78
2786680,78
14109,78
2017687,77
2778858,77
2756951,77
6986609,77
5101654,77
2093324,76
2262568,76
27987,76
2079089,75
2241021,75
2089610,73
2749319,72
5428,72
2081164,72
2080346,71
3126838,71
2743469,70
3000850,69
3859,68
2673800,68
2076896,67
12599,67
2080818,66
2006510,65
10502,64
6469205,64
2089777,64
2269988,64
2738309,64
2079666,64
3314014,64
2200422,64
2558254,63
7467877,63
2013649,63
2548127,62
2237601,61
2081040,61
2816210,61
3656969,61
4042085,61
2580055,61
2089602,60
2200473,60
2290227,60
3019608,60
2337339,60
2082128,60
13633,59
2339196,59
2077434,59
2079895,59
2753278,58
2582449,58
2085194,58
6602533,58
2798662,57
17868,56
2306344,56
7743068,56
2653982,56
2000725,55
2081970,55
2077485,55
5417139,55
2254964,54
2537397,53
2081628,53
2275562,53
2521792,52
2077426,52
26727,52
7823169,52
2361167,51
2097117,50
2755130,50
2751623,50
4004787,50
9101993,49
2485729,49
2232154,49
7620098,49
17884,49
2371375,48
2338424,48
3007847,48
2082594,48
2587335,48
2666731,48
2537788,48
6734014,48
2219654,47
2752700,47
2679647,47
10480,47
7070640,47
3005402,47
3702693,46
2791722,46
3061388,46
2521385,46
6437745,45
2679639,45
3007898,45
2232,45
3048551,45
2785900,45
2761319,45
2733676,45
2089580,45
6388671,45
2096463,44
2594714,44
11800,44
4056752,44
2679663,43
2025507,43
2298031,43
6854729,43
2789590,43
2825589,42
2078767,42
6595197,42
2688611,42
2122677,41
2708566,41
2558246,41
2237253,41
2687062,41
2088517,41
2758164,41
2678179,41
2097613,41
2078074,41
2659417,40
2691515,40
5171946,40
3039420,39
2729407,39
2168731,39
2743477,39
2323397,39
2296616,39
6106056,39
2081458,39
2371707,39
2679736,39
4154,38
2154757,38
3034984,38
10510,38
2556502,38
426,38
2080931,38
5833418,38
2754738,38
2654261,38
2078759,38
6283993,38
5412447,38
2815966,38
2408570,37
2151871,37
