CO_UNI_NOT,SEM_NOT,Overload
19,19,
19,20,
19,21,
19,22,
19,23,
19,24,
35,18,
35,20,
35,21,
35,22,
35,23,
35,24,
221,16,
221,17,
221,18,
221,19,
221,21,
221,22,
221,23,
396,16,2.0
396,17,5.0
396,18,6.0
396,19,4.5
396,20,3.5
396,21,3.0
396,22,2.5
396,23,0.5
396,24,1.0
396,25,1.0
396,26,1.5
396,27,1.5
396,28,1.5
396,29,1.0
396,30,0.5
396,34,0.5
418,14,0.07692307692307693
418,15,1.3076923076923077
418,16,2.0
418,17,3.5384615384615383
418,18,4.0
418,19,3.6923076923076925
418,20,3.6923076923076925
418,21,2.769230769230769
418,22,2.6923076923076925
418,23,2.1538461538461537
418,24,1.0769230769230769
418,25,1.9230769230769231
418,26,1.5384615384615385
418,27,1.3076923076923077
418,28,0.38461538461538464
418,29,0.6923076923076923
418,30,1.3846153846153846
418,31,1.1538461538461537
418,32,0.38461538461538464
418,33,0.23076923076923078
418,34,0.5384615384615384
418,35,0.23076923076923078
418,36,0.07692307692307693
418,37,0.15384615384615385
426,13,0.02631578947368421
426,15,0.02631578947368421
426,16,0.4473684210526316
426,17,0.5789473684210527
426,18,0.868421052631579
426,19,0.7105263157894737
426,20,0.6578947368421053
426,21,0.5
426,22,0.4473684210526316
426,23,0.21052631578947367
426,24,0.23684210526315788
426,25,0.13157894736842105
426,26,0.23684210526315788
426,27,0.18421052631578946
426,28,0.13157894736842105
426,29,0.18421052631578946
426,30,0.13157894736842105
426,31,0.07894736842105263
426,32,0.02631578947368421
426,33,0.02631578947368421
434,13,0.0033370411568409346
434,14,0.004449388209121246
434,15,0.025583982202447165
434,16,0.06451612903225806
434,17,0.05672969966629588
434,18,0.06562847608453838
434,19,0.07230255839822025
434,20,0.07563959955506118
434,21,0.07563959955506118
434,22,0.05005561735261402
434,23,0.03670745272525028
434,24,0.058954393770856504
434,25,0.04671857619577308
434,26,0.042269187986651836
434,27,0.05339265850945495
434,28,0.048943270300333706
434,29,0.06451612903225806
434,30,0.03781979977753059
434,31,0.035595105672969966
434,32,0.006674082313681869
434,33,0.0033370411568409346
434,34,0.002224694104560623
434,35,0.002224694104560623
434,36,0.0011123470522803114
434,37,0.002224694104560623
434,39,0.0011123470522803114
477,11,0.09523809523809523
477,12,0.047619047619047616
477,13,0.19047619047619047
477,14,1.380952380952381
477,15,2.619047619047619
477,16,2.6666666666666665
477,17,1.9047619047619047
477,18,1.7619047619047619
477,19,1.6666666666666667
477,20,2.0
477,21,2.7142857142857144
477,22,2.5714285714285716
477,23,1.8571428571428572
477,24,2.0952380952380953
477,25,1.0476190476190477
477,26,0.3333333333333333
477,27,0.6190476190476191
477,28,0.6666666666666666
477,29,0.5714285714285714
477,30,0.23809523809523808
477,31,0.2857142857142857
477,32,0.38095238095238093
477,33,0.19047619047619047
477,34,0.14285714285714285
477,35,0.09523809523809523
477,37,0.14285714285714285
477,38,0.047619047619047616
531,16,0.125
531,17,0.5
531,18,1.0
531,19,0.375
531,20,0.5
531,21,1.0
531,22,0.75
531,23,0.25
531,24,0.375
531,36,0.125
566,15,0.5
566,16,0.75
566,17,2.0
566,18,3.5
566,19,2.5
566,20,2.25
566,21,2.25
566,22,0.5
566,23,1.25
566,24,3.25
566,25,1.25
566,26,1.75
566,27,2.0
566,28,0.5
566,29,0.75
566,30,1.25
566,31,2.0
566,32,0.5
566,34,0.5
582,16,
582,17,
582,18,
582,19,
582,20,
582,21,
582,22,
582,23,
582,24,
582,25,
582,26,
582,27,
582,28,
582,29,
582,30,
582,31,
582,32,
604,15,
604,16,
604,17,
604,18,
604,19,
604,20,
604,21,
604,22,
